               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083087,            0.022099,                   0,             0.62109,             0.68108,             0.67479,             0.27822,            0.030865,           0.0091559,                   0,            0.070319,           0.0032979,           0.0032979
                   1,            0.050601,            0.018588,                   0,             0.73642,             0.91351,             0.89129,             0.48082,             0.02601,           0.0052589,                   0,            0.039881,           0.0061935,           0.0061935
                   2,            0.044569,              0.0157,                   0,             0.96087,             0.92915,             0.97322,              0.5403,            0.021425,           0.0047491,                   0,           0.0090038,           0.0086492,           0.0086492
                   3,            0.040278,            0.014417,                   0,             0.98251,             0.97297,             0.99159,              0.5835,            0.018478,           0.0045623,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.035215,            0.013489,                   0,             0.98912,             0.98268,             0.98576,             0.57588,            0.018997,           0.0040563,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.033618,            0.013272,                   0,             0.97264,             0.96082,             0.97956,             0.65556,            0.016477,           0.0037389,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.031443,            0.012832,                   0,             0.99917,                   1,               0.995,             0.65517,            0.014813,           0.0036727,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.027951,            0.012447,                   0,             0.99685,                   1,               0.995,              0.6463,            0.016196,           0.0036455,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.026591,            0.012102,                   0,              0.9942,             0.99459,             0.99105,             0.66154,            0.014993,           0.0034359,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.026398,            0.011765,                   0,                   1,              0.9983,               0.995,             0.68034,            0.014466,           0.0034819,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.025562,            0.011738,                   0,             0.99943,                   1,               0.995,             0.69267,            0.013993,           0.0034379,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.024546,            0.011376,                   0,             0.99913,             0.99459,               0.995,              0.6901,            0.013862,           0.0034388,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.023601,            0.011385,                   0,             0.99385,                   1,               0.995,             0.69108,            0.013537,           0.0033969,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.022302,            0.011072,                   0,             0.99948,                   1,               0.995,              0.6937,            0.013748,           0.0034143,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.021931,            0.010878,                   0,             0.99917,                   1,               0.995,             0.70541,            0.013418,           0.0033418,                   0,             0.00142,             0.00142,             0.00142
